AuthorID,Author,Date,Content,Attachments,Reactions
"253974889390800908","ex0tiik","2025-03-15T00:30:32.3500000-05:00","WTS Softcore Phrexia

60x Yellow Beasts 2 :divine: / sets (13 sets)

8x Vivid Vulture 2:divine: / each

IGN: @ExoLOPMana","",""
"195672751271313408","owais_","2025-03-15T00:35:02.4690000-05:00","wts softcore legacy of phrecia:

50x vivid vulture 3 div each
2 quad tabs yellow beasts 20d ea

`@Krayven_ wtb beasts`","",""
"1155192974402142288","screenname_04584","2025-03-15T01:44:17.7490000-05:00","WTS Softcore Legacy of Phrecia

48x Yellow Beasts 1 Divine (4 sets in stock)

IGN: SirSpinnyBoiIII","",""
"211480163140108289","monzer_","2025-03-15T02:19:53.4170000-05:00","WTS Softcore Phrecia

60x yellow beast 1.5 :divine: (2 sets)

ign @reeeem","",""
"195259352221745152","4htj","2025-03-15T03:01:25.8040000-05:00","WTS Softore Phrecia

60x Yellow Beasts = 2 :divine: 

IGN: Phrecia_AzureLS","",""
"478048515621126145","wallaweegie","2025-03-15T03:32:02.5360000-05:00","WTS Softcore ""Legacy of Phrecia""

Yellow beasts 60x -  1div 60c   Stock: 1 set ready

@Reepion WTB Yellow beasts","",""
"509806987073028107","jivo","2025-03-15T03:44:26.0630000-05:00","WTS Softcore Legacy of Phrecia

x60 Yellow beasts 1 :divine: each set (1 sets in stock)
IGN: ```@JiVo Hi, I want to buy Yellow beasts set[]```","",""
"328511087068577793","ahaaxa","2025-03-15T03:57:13.7090000-05:00","WTS Softcore ""Legacy of Phrecia""

20x Craicic Chimera - 0.4 :divine: /ea 
~~6x Vivid Watcher - 1.3 :divine: /ea~~
~~6x Vivid Vulture - 1.5 :divine:/ea~~

IGN: `@Ahaaxa WTB XXX beasts`","",""
"418171285798125578","uchihawind","2025-03-15T04:03:11.2850000-05:00","WTS Softcore Legacy of Phrecia
112  Vivid Vulture                        2   :divine:each
IGN: UchihaWind","",""
"70970923674505216","xxshadow","2025-03-15T05:09:21.3630000-05:00","WTS Softcore Legacy Of Phrecia

60x Yellow beasts - 1.5:divine:  per set ( 24 Set in stock )

IGN - @XxTankyShadow WTB Yellow set","",""
"226873024295600128","turtle6969","2025-03-15T05:19:05.1140000-05:00","~~WTS Softcore Legacy of Phrecia

60x Yellow beasts  1 :divine:  (stock 10 sets)


IGN: Ultimateturtle~~","",""
"233008924779872257","hallohihi","2025-03-15T05:42:44.1240000-05:00","WTS Softcore ""Legacy of Phrecia""
 Stock    Beast Name             Price
67       Vivid Watcher           1.2:divine:
398  Craicic Chimeral      2/1:divine:
122      Wild Hellion Alpha  3/1:divine:
140      Wild Brambleback  4/1:divine:
110      Wild Bristle Matron 0.5:divine:
IGN : HecklingPhrecia","",""
"968205339059175444","iitzpktime","2025-03-15T05:44:21.5240000-05:00","WTS Softcore Legacy of Phrecia
--------------------------------------------------------
🐅 60x Yellow Beasts -  1.5 :divine:/Set (7 Sets)
--------------------------------------------------------
IGN: HolyPK","",""
"524143112126201856","tokarz","2025-03-15T06:56:35.9810000-05:00","WTS Softcore Legacy of Phrecia

65 x Wild Bristle Matron = 0.5 :divine: each
32  x ViVid watcher = 1.3 :divine: each
0 x Wild Hellion Alpha - 0.3 :divine:  each
80 x Wild Brambleback = 0.2 :divine: each

IGN: @I_Care_Coldaf","",""
"291630289875107840","leemer91","2025-03-15T07:04:58.9290000-05:00","WTS Softcore ""Legacy of Phrecia""

x3 Vivid Vulture - 1.4 :divine: /ea
~~x4 Vivid Watcher - 1.4 :divine: /ea~~
x16 Wild Bristle Matron - 0.5 :divine: /ea
~~x6 Wild Hellion Alpha - 50 :chaos: /ea~~

ign: LeemerBlasts","",""
"341310927448309760","karolek","2025-03-15T07:23:26.0030000-05:00","WTS Softcore

167x Craicic Chimeral 0.5 :divine: each

IGN Zienu","",""
"442561140871004187","renkophysics","2025-03-15T08:42:15.0220000-05:00","~~WTS Softcore Phrecia
60x yellow beasts = 1.5 div/set
have 3 sets ready, all for 4div
IGN: pipizw~~","",""
"439128972614172684","hisyamdouka","2025-03-15T09:12:27.9000000-05:00","WTS Softcore ""Legacy of Phrecia""
60x Yellow Beast - 1.4:divine: per set   ( Stock :  4 set )

IGN: AhSudahlah","",""
"892764505803722822","woodka9438","2025-03-15T09:26:08.4360000-05:00","WTS Softcore ""Legacy of Phrecia""
100x Craicic Chimera - 0.5:divine: /ea 

IGN: @Woodkarka","",""
"231096100071669772","andrei6704","2025-03-15T11:02:22.2810000-05:00","WTS Softcore ""Legacy of Phrecia""
------
Yellow Beasts 60 x - 1.5 :divine: //     (4 sets)
-----
@Dudai","",""
"421270514049220610","balboa8599","2025-03-15T11:07:12.8480000-05:00","WTS Softcore Legacy of Phrecia
2x Vivid Vulture 1.7 div / ea
3x Vivid Watcher 1.4div / ea
IGN : @pipipihex","",""
"914484126185300028","sincerehg1","2025-03-15T12:02:56.0570000-05:00","WTS Softcore Legacy of Phrecia

60x yellow beasts-1.5:divine:  (stock: 3 sets)
IGN:Phrecia_Hao","",""
"486516112612261889","ruizai","2025-03-15T12:07:35.5910000-05:00","WTS Softcore Legacy of Phrecia

8x Vivid Vulture = 1.7 :divine: each
IGN:@Phrecia_RuiZai","",""
"137729823073239040","bigangryhobo","2025-03-15T13:43:00.5010000-05:00","~~WTS Softcore (Phrecia)

X16 Wild Bramblebacks 0.3 :divine: each (selling in sets of 4)

IGN: @PhreciaPeas~~","",""
"1322765324331909211","cute_wolf_42508","2025-03-15T14:58:44.3240000-05:00","WTS Softcore ""Legacy of Phrecia""
===========
60x Yellow Beast --> 1.5 :divine:  (stock: 180 )
===============
IGN: @Atayotto","",""
"884492882940137563","hattiapa","2025-03-15T15:18:58.5280000-05:00","WTS Softcore Legacy of Phrecia
x29 Wild Bristle Matron   0.6 :divine: each
x23  Wild Brambleback   0.3 :divine: each
IGN: Hatrun","",""
"393420706693513218","bedwyir","2025-03-15T15:37:42.5220000-05:00","WTS Softcore Phrecia

x60 Yellow Beasts - 1:divine:  - STOCK: 8

IGN: @Tablix_Lu_ASA","",""
"108679466229739520","borpo_","2025-03-15T15:49:06.2200000-05:00","WTS Softcore (Phrecia)
Yellow Beast 60x Set - 1.5 :divine: (Stock: 17 sets)

Still have? ✅ 
IGN: CBT
```@CBT Hi, I'd like to buy bulk yellow beasts - # sets.```","",""
"804540541084893204","thedoktorb","2025-03-15T16:08:35.9300000-05:00","WTS Softcore Legacy of Phrecia

34x   Vivid Vulture -     2 :divine:    each

IGN  AnotherShadowBoi","",""
"498400025236471808","shengdeluo","2025-03-15T16:58:34.9020000-05:00","WTS Softcore Legacy of Phrecia

~~x24 Vivid Vulture -   1.8 :divine:each~~
x2 Vivid Watcher - 1.4 :divine:each
x4 Wild Hellion Alpha - 45  :chaos:each
x16 Wild Bristle Matron - 95 :chaos:each
x17 Wild Brambleback - 30 :chaos:each
x107 Craicic Chimeral - 0.3 :divine: each
x5 Craiceann, First of the Deep - 30 :chaos: each

IGN: @Babylonian","",""
"1051951805090779236","bliyu.poe","2025-03-15T17:20:53.8960000-05:00","WTS Softcore Legacy of Phrecia

~~8x Craicic Chimeral - 50 :chaos: each~~

~~IGN: HandBananaForTheLord~~","",""
"162546045799235584","liminier","2025-03-15T17:34:56.9340000-05:00","WTS Softcore ""Legacy of Phrecia""
60x Yellow Beasts :  1.4 :divine:  /set (10 sets available)
IGN : @Surfinier","",""
"817606490604830720","sop_123","2025-03-15T18:14:00.3890000-05:00","WTS Softcore Legacy of Phrecia

~~48x    Vivid Vulture                1.8    each~~

IGN  Plscome","",""
"271328561850351616","serioux","2025-03-15T19:09:37.3210000-05:00","WTS Softcore Phrecia

Black Mórrigan - 0.7 :divine: each (Stock: 21)
Craicic Chimeral - 0.4 :divine: each (Stock: 174)
Wild Bristle Matron - 0.5 :divine: each (Stock: 4)
Wild Brambleback - 0.2 :divine: each (Stock: 6)

@TekanneKraeuter","",""
"694728428733071431","count_drakan","2025-03-15T19:20:13.2130000-05:00","WTS Softcore Legacy of Phrecia
Yellow Beasts x60  - 1 Div + 60c

IGN: @Kornifer","",""
"286638296438669322","melojunior","2025-03-15T21:20:32.9240000-05:00","WTS Softcore Legacy of Phrecia

~~60x Yellow beasts : 1.3 :divine:   per set (4 sets)~~

IGN:  @SemArcoooo","",""
"231661135865053184","hhyox","2025-03-15T21:25:07.8400000-05:00","~~WTS Softcore Legacy of Phrecia

60x Yellow beasts : 1.5 :divine: 

IGN:  @마음은열아홉~~","",""
"615265640693104671","zensho1112","2025-03-15T22:00:11.5770000-05:00","WTS Softcore Phrecia
x112 Vivid Vulture - 1.8div/ea (200 div all
IGN:@Vangloom_Phrecia","",""
"147559782981566464","evilscypher","2025-03-15T22:29:49.8960000-05:00","WTS Softcore Phrecia

x60 Yellow Beasts - 1.5 :divine: - STOCK: 8

IGN: @ ScyPhy","",""
"558609993960783892","vaeryn2","2025-03-16T02:16:37.0640000-05:00","WTS Softcore Legacy of Phrecia

x48 Wild Hellion Alpha - 0.5 Div /ea

IGN: @Shankhermazzy","",""
"745347495671890075","yang07048","2025-03-16T03:18:09.0210000-05:00","WTS Softcore Legacy of Phrecia

Yellow beasts x60 - 1.5 :divine:/set  Stock: 4

IGN: @Ilikemycoffeeblack","",""
"340065135261515789","sherwin7777","2025-03-16T05:00:54.1980000-05:00","WTS Softcore Phrecia
====================
~~60x    Yellow beasts -1.5 :divine:    each /set  (2 sets left)~~
8x      Craicic Chimeral    0.3:divine: /each
~~4x      Wild Hellion Alpha 0.4:divine: /each~~
4x      Black Morrigan       0.7 :divine: / each
====================
IGN:  @Phrecia_Ragdollll Hi, WTB your beasts","",""
"493742363542290432","eugene.nz","2025-03-16T06:08:18.2850000-05:00","WTS Softcore Phrecia

x60 Yellow Beasts - 3 :divine: / 2 sets (have 10 sets)

IGN: `@TheBiggiePhrecia`","",""
"294078587571798016","kimek0","2025-03-16T07:42:43.3910000-05:00","WTS Softcore Legacy of Phrecia

6x Vivid Vulture 1.7  :divine:  each
8x Vivid Watcher 1.5  :divine:  each
16x Wild Bristle Matron 0.6  :divine:  each
1x Wild Hellion Alpha 0.4  :divine:  each
8x  Wild Brambleblack 0.3  :divine:  each

IGN: @LegacyOfKim","",""
"136903384400789504","retnom","2025-03-16T09:17:47.2740000-05:00","WTS Softcore Legacy of Phrecia

60x Yellow Beasts-1.3 :divine:  (stock: 4 sets) 

IGN: @lokmojster
Sold!","",""
"1152162126673223711","enemy0979","2025-03-16T09:41:45.9900000-05:00","WTS Softcore ""Legacy of Phrecia""

~~64x Black Morrigan - 0,65:divine: /ea~~

IGN: @shiyouqing","",""
"201057344749043713","renzog","2025-03-16T09:58:48.6690000-05:00","WTS Softcore

1.5 :divine: per 60 yellow Beasts (19 sets)

SOLD","",""
"105996096341327872","rave_96","2025-03-16T10:02:45.5790000-05:00","WTS Softcore Legacy of Phrecia:

Yellow Beasts - 60 x - 1.5 :divine: (3 sets)

IGN: @sadpanda_png","",""
"287916663662444544","nickwee.","2025-03-16T10:09:33.7590000-05:00","WTS Softcore Legacy of Phrecia
=================================================================================
60x Yellow beast for 1.4 :divine: (3 set)
=================================================================================
IGN: @Phrecia_LS_Proh   WTB Beasts","",""
"353974790207307776","kukabara.","2025-03-16T10:09:50.6160000-05:00","WTS Softcore Legacy of Phrecia:

Yellow Beasts - 60 for 1.4 :divine: / 8 set(s)

IGN: Army_DOT","",""
"314937847243210763","junior_8566","2025-03-16T10:10:41.5670000-05:00","WTS Softcore Legacy of Phrecia:

Yellow Beasts - 60 for 1.5 :divine: / 13 set(s)

IGN: psvalzeta","",""
"1339775621928058963","0399893622","2025-03-16T10:11:14.2820000-05:00","WTS Softcore Legacy of Phrecia

x50  Vivid Watcher - 1.6 :divine: each
~~x150 +  Craicic Chimeral - 0.4 :divine:~~
~~x30 Black Morrigan - 0.7 :divine: each~~
min 10 plz
IGN: buonbuon","",""
"906076956615901205","jamhajamha","2025-03-16T10:11:56.5260000-05:00","WTS Softcore Legacy of Phrecia
x70 Vivid Vulture -  2:divine:  each
x18 Vivid Watcher -  1.5:divine:  each
x36 Craicic Chimeral - 0.4:divine:  each
x58 Black Morrigan -  0.7:divine:  each
IGN: @잼폭지","",""
"190783794586845184","jofkingnerd","2025-03-16T10:51:36.1870000-05:00","WTS Softcore Phrecia

x18 Vivid Vulture  - 1.8 :divine:each (have some 20-30-40% do not consume for free included if u buy all )

IGN: @jofspank","",""
"645258363734720563","saitosan7530","2025-03-16T11:51:33.2620000-05:00","WTS Softcore Legacy of Phrecia
x80 Vivid Vulture - 2.8:divine: /ea
x90 Vivid Watcher - 2.8:divine: /ea
x120 Wild Bristle Matron - 0.9:divine: /ea
x300 Black Morrigan - 1:divine: /ea
x200 Wild Hellion Alpha - 0.8:divine: /ea
x200 Craicic Chimeral - 0.8:divine: /ea
x140 Wild Brambleback - 0.7 :divine:ea

IGN: @IDoRanger","",""
"369511405956759554","klashko","2025-03-16T12:21:50.3820000-05:00","WTS Softcore Legacy of Phrecia
x12 Vivid Vulture - 2 :divine: /ea

IGN: klashko_surfer","",""
"565897298018566144",".mr.nub","2025-03-16T14:04:13.0510000-05:00","WTS Softcore Legacy of Phrecia

60x Yellow Beasts (set) -  1 :divine: / set (stock:10)

IGN : @VictimOfEDP","",""
"230162595179397120","shfiender","2025-03-16T14:40:22.2950000-05:00","WTS Softcore Legacy of Phrecia

60X Yellow Bests (set) 1.5 :divine: / set (Stock: 11 sets)

IGN: @Beat_Jared","",""
"221336432021733376","kotago","2025-03-16T15:27:29.2010000-05:00","~~WTS Softcore Legacy of Phrecia~~

~~60x Yellow (set) -  1 :divine:/ set (stock: 5 sets )~~

~~IGN: RFeningAgain~~","",""
"227463990609969152","liesel8753","2025-03-16T15:28:32.7200000-05:00","WTS Softcore Legacy of Phrecia
~~Yellow Beasts 60 x - 1.5 :divine:  (13 sets left)~~
get them before they're gone!
IGN: DiddiesOilSupplier","",""
"313929770981392384","guthiiccs","2025-03-16T15:32:20.8040000-05:00","WTS Softcore Phrecia

60x Yellow Beasts | 1.5:divine: / set (4 sets), Buy all get 24 beasts free.

IGN: @Guthy","",""
"622792272177790998","arbeitarczi","2025-03-16T15:47:44.4610000-05:00","WTS Softcore Legacy of Phrecia

*~~23x Vivid Vulture - 2:divine: each
4x Vivid Watcher - 1.5:divine: each~~*
14x Craicic Chimeral - 50:chaos: each

IGN: @Arczi_Zadymiarz","",""
"221340447409307659",".ornedan","2025-03-16T16:24:00.0380000-05:00","WTS Softcore Legacy of Phrecia
60x Yellow Beasts - 220 :chaos:  / set (stock: 6 sets)
IGN: @lowercaseling","",""
"358392873949069324","whyproblemmake","2025-03-16T17:44:26.5740000-05:00","WTS Softcore Legacy of Phrecia

60x Yellow Beasts - 1.5 :divine: 

2 sets ready, more available as needed

IGN: LetsGet_Phreaky","",""
